,Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population_x, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Continent,Least Developed,Life Expectancy,Population_y,CO2 emissions,Health expenditure,Electric power consumption,Forest area,GDP per capita,Individuals using the Internet,Military expenditure,People practicing open defecation,People using at least basic drinking water services,Obesity among adults,Beer consumption per capita
53,Argentina,2010,Developing,75.5,121.0,10,8.15,187.610955,94.0,17,59.8,11,95.0,6.55,94.0,0.1,1276.265,41223889.0,1.0,0.9,0.802,16.8,South America,False,75.278,40788453,4.099689714,9.44546986,2730.123367,11.04034436,18063.91434,45.0,0.814878105,1.774327746,98.42725533,25.3,3.32
54,Argentina,2009,Developing,75.6,126.0,10,8.33,1398.042623,94.0,3,59.2,11,97.0,7.63,94.0,0.1,8161.36966,479947.0,1.0,0.9,0.794,16.5,South America,False,75.116,40482786,3.867569967,9.45598793,2772.843291,11.15595848,16330.6328,34.0,0.886508577,1.824743276,98.23571573,24.7,3.23
55,Argentina,2008,Developing,75.4,126.0,10,8.41,1413.73543,9.0,0,58.6,11,94.0,6.66,93.0,0.1,8953.359275,4382389.0,1.0,0.9,0.792,16.3,South America,False,74.952,40080159,4.172388531,8.18266869,2455.656081,11.27157259,17420.68009,28.11262348,0.762756475,1.875211469,98.03963014,24.2,3.16
56,Argentina,2007,Developing,74.8,129.0,10,8.16,1105.659031,85.0,0,58.0,12,92.0,6.49,91.0,0.1,7193.61764,3997224.0,1.1,0.9,0.788,16.3,South America,False,74.787,39684303,4.102629636,7.83455086,2374.097592,11.38718671,16590.24897,25.94663294,0.792548175,1.925728699,97.83887029,23.7,2.75
57,Argentina,2006,Developing,75.2,127.0,11,7.75,961.1774676,84.0,0,57.5,12,92.0,6.68,91.0,0.1,5878.76127,3955889.0,1.1,0.9,0.782,16.1,South America,False,74.62,39289876,3.94249129,7.64032841,2408.432958,11.50280083,14967.625,20.9272021,0.788233877,1.976227394,97.63347995,23.2,2.57
58,Argentina,2005,Developing,74.9,127.0,11,7.53,96.16653429,88.0,0,56.9,12,95.0,6.85,98.0,0.1,576.883829,39145488.0,1.1,1.0,0.78,16.3,South America,False,74.451,38892924,3.753639235,7.61078882,2293.309488,11.61841495,13575.3709,17.72058337,0.847154784,1.978,97.42319597,22.8,2.42
59,Argentina,2004,Developing,74.7,13.0,11,7.63,719.3663797,81.0,0,56.3,12,91.0,6.84,98.0,0.1,4251.574348,38728696.0,1.1,1.0,0.775,16.3,South America,False,74.28,38491970,3.672973996,7.22868299,2180.326931,11.73402906,12218.20932,16.03668411,0.883295359,1.983,97.20809699,22.3,2.04
60,Argentina,2003,Developing,74.1,137.0,11,7.62,57.58467352,73.0,0,55.7,13,95.0,8.22,96.0,0.1,333.4376,3839379.0,1.2,1.0,0.77,16.4,South America,False,74.107,38087866,3.351723713,6.89451599,2014.476878,11.84964318,11029.15507,11.91369655,1.060895057,2.027,96.98789954,21.8,2.03
61,Argentina,2002,Developing,74.1,138.0,12,7.81,470.1869145,66.0,0,55.1,13,94.0,8.31,93.0,0.1,2579.193168,3788937.0,1.2,1.0,0.776,16.3,South America,False,73.932,37681743,3.117424829,7.3933115,2120.580398,11.9652573,10044.61804,10.88212438,1.091880479,2.119,96.76268593,21.4,2.08
62,Argentina,2001,Developing,74.0,138.0,12,7.76,123.0128671,,0,54.6,13,85.0,9.38,83.0,0.1,717.694674,3747159.0,1.2,1.1,0.771,15.6,South America,False,73.755,37275644,3.360371185,8.37179756,2088.80763,12.08087142,11220.65623,9.780807285,1.184233542,2.149,96.53175832,20.9,1.9
63,Argentina,2000,Developing,74.1,137.0,12,7.68,1349.025282,,6,54.0,14,88.0,9.21,83.0,0.1,7669.273916,3757452.0,1.2,1.1,0.764,15.0,South America,False,73.576,36870796,3.587392038,8.2200098,2033.771811,12.19648554,11605.59228,7.038683086,1.148822677,2.293,96.29467974,20.5,1.79
